Arthela,YR,Date DD/MM/ÅÅÅÅ
Trastsångare, Acrocephalus arundinaceus,1950,20/05/1950
Trastsångare, Acrocephalus arundinaceus,1959,14/05/1959
Trastsångare, Acrocephalus arundinaceus,1965,12/06/1965
Trastsångare, Acrocephalus arundinaceus,1971,26/05/1971
Trastsångare, Acrocephalus arundinaceus,1974,19/05/1974
Trastsångare, Acrocephalus arundinaceus,1976,12/05/1976
Trastsångare, Acrocephalus arundinaceus,1978,22/05/1978
Trastsångare, Acrocephalus arundinaceus,1980,27/05/1980
Trastsångare, Acrocephalus arundinaceus,1987,16/05/1987
Trastsångare, Acrocephalus arundinaceus,1988,07/06/1988
Trastsångare, Acrocephalus arundinaceus,1989,25/05/1989
Trastsångare, Acrocephalus arundinaceus,1990,04/06/1990
Trastsångare, Acrocephalus arundinaceus,1994,19/05/1994
Trastsångare, Acrocephalus arundinaceus,2004,29/05/2004
Trastsångare, Acrocephalus arundinaceus,2009,22/05/2009
Trastsångare, Acrocephalus arundinaceus,2014,28/05/2014
Rörsångare, Acrocephalus scirpaceus,1950,24/05/1950
Rörsångare, Acrocephalus scirpaceus,1951,31/05/1951
Rörsångare, Acrocephalus scirpaceus,1952,03/06/1952
Rörsångare, Acrocephalus scirpaceus,1953,30/05/1953
Rörsångare, Acrocephalus scirpaceus,1954,31/05/1954
Rörsångare, Acrocephalus scirpaceus,1955,01/06/1955
Rörsångare, Acrocephalus scirpaceus,1956,30/05/1956
Rörsångare, Acrocephalus scirpaceus,1957,06/06/1957
Rörsångare, Acrocephalus scirpaceus,1958,02/06/1958
Rörsångare, Acrocephalus scirpaceus,1959,29/05/1959
Rörsångare, Acrocephalus scirpaceus,1960,29/05/1960
Rörsångare, Acrocephalus scirpaceus,1961,06/06/1961
Rörsångare, Acrocephalus scirpaceus,1962,04/06/1962
Rörsångare, Acrocephalus scirpaceus,1963,06/06/1963
Rörsångare, Acrocephalus scirpaceus,1964,02/06/1964
Rörsångare, Acrocephalus scirpaceus,1965,28/05/1965
Rörsångare, Acrocephalus scirpaceus,1967,09/06/1967
Rörsångare, Acrocephalus scirpaceus,1968,30/05/1968
Rörsångare, Acrocephalus scirpaceus,1969,01/06/1969
Rörsångare, Acrocephalus scirpaceus,1970,07/06/1970
Rörsångare, Acrocephalus scirpaceus,1971,08/06/1971
Rörsångare, Acrocephalus scirpaceus,1972,01/06/1972
Rörsångare, Acrocephalus scirpaceus,1973,01/06/1973
Rörsångare, Acrocephalus scirpaceus,1974,03/06/1974
Rörsångare, Acrocephalus scirpaceus,1975,05/06/1975
Rörsångare, Acrocephalus scirpaceus,1976,08/06/1976
Rörsångare, Acrocephalus scirpaceus,1977,05/06/1977
Rörsångare, Acrocephalus scirpaceus,1978,02/06/1978
Rörsångare, Acrocephalus scirpaceus,1979,02/06/1979
Rörsångare, Acrocephalus scirpaceus,1980,04/06/1980
Rörsångare, Acrocephalus scirpaceus,1981,31/05/1981
Rörsångare, Acrocephalus scirpaceus,1982,24/05/1982
Rörsångare, Acrocephalus scirpaceus,1983,03/06/1983
Rörsångare, Acrocephalus scirpaceus,1984,04/06/1984
Rörsångare, Acrocephalus scirpaceus,1985,31/05/1985
Rörsångare, Acrocephalus scirpaceus,1986,28/05/1986
Rörsångare, Acrocephalus scirpaceus,1987,02/06/1987
Rörsångare, Acrocephalus scirpaceus,1988,30/05/1988
Rörsångare, Acrocephalus scirpaceus,1989,04/06/1989
Rörsångare, Acrocephalus scirpaceus,1990,03/06/1990
Rörsångare, Acrocephalus scirpaceus,1991,04/06/1991
Rörsångare, Acrocephalus scirpaceus,1992,03/06/1992
Rörsångare, Acrocephalus scirpaceus,1993,28/05/1993
Rörsångare, Acrocephalus scirpaceus,1994,26/05/1994
Rörsångare, Acrocephalus scirpaceus,1995,28/05/1995
Rörsångare, Acrocephalus scirpaceus,1996,01/06/1996
Rörsångare, Acrocephalus scirpaceus,1997,03/06/1997
Rörsångare, Acrocephalus scirpaceus,1998,31/05/1998
Rörsångare, Acrocephalus scirpaceus,1999,25/05/1999
Rörsångare, Acrocephalus scirpaceus,2000,28/05/2000
Rörsångare, Acrocephalus scirpaceus,2001,27/05/2001
Rörsångare, Acrocephalus scirpaceus,2002,30/05/2002
Rörsångare, Acrocephalus scirpaceus,2003,29/05/2003
Rörsångare, Acrocephalus scirpaceus,2004,28/05/2004
Rörsångare, Acrocephalus scirpaceus,2005,27/05/2005
Rörsångare, Acrocephalus scirpaceus,2006,23/05/2006
Rörsångare, Acrocephalus scirpaceus,2007,05/06/2007
Rörsångare, Acrocephalus scirpaceus,2008,27/05/2008
Rörsångare, Acrocephalus scirpaceus,2009,23/05/2009
Rörsångare, Acrocephalus scirpaceus,2010,29/05/2010
Rörsångare, Acrocephalus scirpaceus,2011,29/05/2011
Rörsångare, Acrocephalus scirpaceus,2012,31/05/2012
Rörsångare, Acrocephalus scirpaceus,2013,31/05/2013
Rörsångare, Acrocephalus scirpaceus,2014,28/05/2014
Rörsångare, Acrocephalus scirpaceus,2015,25/05/2015
Rörsångare, Acrocephalus scirpaceus,2016,01/06/2016
Rörsångare, Acrocephalus scirpaceus,2017,28/05/2017
Gräsand, Anas platyrhynchos,1958,19/04/1958
Gräsand, Anas platyrhynchos,1988,26/03/1988
Gräsand, Anas platyrhynchos,1990,12/04/1990
Gräsand, Anas platyrhynchos,1996,26/04/1996
Gräsand, Anas platyrhynchos,2001,22/05/2001
Gräsand, Anas platyrhynchos,2002,09/04/2002
Gräsand, Anas platyrhynchos,2007,29/03/2007
Gräsand, Anas platyrhynchos,2008,28/04/2008
Gräsand, Anas platyrhynchos,2013,23/04/2013
Gräsand, Anas platyrhynchos,2015,13/04/2015
Gräsand, Anas platyrhynchos,2016,02/05/2016
Gräsand, Anas platyrhynchos,2017,17/04/2017
Hornuggla, Asio otus,1950,10/05/1950
Hornuggla, Asio otus,1951,19/05/1951
Hornuggla, Asio otus,1953,22/04/1953
Hornuggla, Asio otus,1955,17/04/1955
Hornuggla, Asio otus,1956,25/04/1956
Hornuggla, Asio otus,1957,22/04/1957
Hornuggla, Asio otus,1958,25/04/1958
Hornuggla, Asio otus,1959,05/04/1959
Hornuggla, Asio otus,1960,15/05/1960
Hornuggla, Asio otus,1962,17/05/1962
Hornuggla, Asio otus,1963,23/04/1963
Hornuggla, Asio otus,1965,14/04/1965
Hornuggla, Asio otus,1967,05/05/1967
Hornuggla, Asio otus,1968,01/05/1968
Hornuggla, Asio otus,1969,24/04/1969
Hornuggla, Asio otus,1970,21/04/1970
Hornuggla, Asio otus,1971,13/04/1971
Hornuggla, Asio otus,1972,07/05/1972
Hornuggla, Asio otus,1973,27/04/1973
Hornuggla, Asio otus,1974,20/05/1974
Hornuggla, Asio otus,1975,24/04/1975
Hornuggla, Asio otus,1976,27/04/1976
Hornuggla, Asio otus,1977,16/05/1977
Hornuggla, Asio otus,1978,20/04/1978
Hornuggla, Asio otus,1979,11/04/1979
Hornuggla, Asio otus,1980,04/05/1980
Hornuggla, Asio otus,1981,12/04/1981
Hornuggla, Asio otus,1982,19/04/1982
Hornuggla, Asio otus,1983,01/04/1983
Hornuggla, Asio otus,1984,04/04/1984
Hornuggla, Asio otus,1985,29/04/1985
Hornuggla, Asio otus,1986,10/05/1986
Hornuggla, Asio otus,1987,21/04/1987
Hornuggla, Asio otus,1988,30/03/1988
Hornuggla, Asio otus,1989,13/04/1989
Hornuggla, Asio otus,1990,02/04/1990
Hornuggla, Asio otus,1991,17/04/1991
Hornuggla, Asio otus,1992,19/04/1992
Hornuggla, Asio otus,1993,18/04/1993
Hornuggla, Asio otus,1994,17/04/1994
Hornuggla, Asio otus,1995,02/05/1995
Hornuggla, Asio otus,1996,24/05/1996
Hornuggla, Asio otus,1997,20/04/1997
Hornuggla, Asio otus,1998,14/04/1998
Hornuggla, Asio otus,1999,20/04/1999
Hornuggla, Asio otus,2000,12/04/2000
Hornuggla, Asio otus,2001,07/05/2001
Hornuggla, Asio otus,2002,05/04/2002
Hornuggla, Asio otus,2003,03/05/2003
Hornuggla, Asio otus,2004,01/04/2004
Hornuggla, Asio otus,2005,12/04/2005
Hornuggla, Asio otus,2006,14/04/2006
Hornuggla, Asio otus,2007,08/04/2007
Hornuggla, Asio otus,2008,30/04/2008
Hornuggla, Asio otus,2009,02/04/2009
Hornuggla, Asio otus,2010,09/04/2010
Hornuggla, Asio otus,2011,24/04/2011
Hornuggla, Asio otus,2012,29/04/2012
Hornuggla, Asio otus,2013,12/04/2013
Hornuggla, Asio otus,2015,02/04/2015
Hornuggla, Asio otus,2016,27/03/2016
Hornuggla, Asio otus,2017,03/05/2017
Backsvala, Riparia riparia,1955,08/06/1955
Backsvala, Riparia riparia,1972,30/05/1972
Backsvala, Riparia riparia,1973,10/06/1973
Backsvala, Riparia riparia,1974,04/06/1974
Backsvala, Riparia riparia,1975,13/05/1975
Backsvala, Riparia riparia,1976,14/06/1976
Backsvala, Riparia riparia,1978,13/06/1978
Backsvala, Riparia riparia,1979,09/06/1979
Backsvala, Riparia riparia,1981,26/05/1981
Backsvala, Riparia riparia,1983,30/05/1983
Backsvala, Riparia riparia,1986,26/05/1986
Backsvala, Riparia riparia,1987,01/06/1987
Backsvala, Riparia riparia,1989,09/05/1989
Backsvala, Riparia riparia,1990,28/05/1990
Backsvala, Riparia riparia,1991,04/06/1991
Backsvala, Riparia riparia,1993,01/06/1993
Backsvala, Riparia riparia,1994,31/05/1994
Backsvala, Riparia riparia,1995,15/05/1995
Backsvala, Riparia riparia,1996,28/05/1996
Backsvala, Riparia riparia,2001,06/06/2001
Backsvala, Riparia riparia,2004,04/06/2004
Backsvala, Riparia riparia,2006,25/05/2006
Backsvala, Riparia riparia,2007,01/06/2007
Backsvala, Riparia riparia,2014,09/05/2014
Backsvala, Riparia riparia,2015,13/05/2015
Backsvala, Riparia riparia,2017,13/06/2017
Bergfink, Fringilla montifringilla,1951,26/05/1951
Bergfink, Fringilla montifringilla,1952,28/04/1952
Bergfink, Fringilla montifringilla,1953,23/04/1953
Bergfink, Fringilla montifringilla,1954,21/05/1954
Bergfink, Fringilla montifringilla,1955,28/04/1955
Bergfink, Fringilla montifringilla,1956,29/04/1956
Bergfink, Fringilla montifringilla,1957,07/05/1957
Bergfink, Fringilla montifringilla,1958,02/05/1958
Bergfink, Fringilla montifringilla,1959,19/04/1959
Bergfink, Fringilla montifringilla,1960,29/04/1960
Bergfink, Fringilla montifringilla,1961,25/04/1961
Bergfink, Fringilla montifringilla,1962,03/05/1962
Bergfink, Fringilla montifringilla,1963,23/04/1963
Bergfink, Fringilla montifringilla,1964,29/04/1964
Bergfink, Fringilla montifringilla,1965,23/04/1965
Bergfink, Fringilla montifringilla,1967,01/05/1967
Bergfink, Fringilla montifringilla,1968,01/04/1968
Bergfink, Fringilla montifringilla,1969,28/04/1969
Bergfink, Fringilla montifringilla,1970,01/05/1970
Bergfink, Fringilla montifringilla,1971,23/04/1971
Bergfink, Fringilla montifringilla,1972,22/04/1972
Bergfink, Fringilla montifringilla,1973,29/04/1973
Bergfink, Fringilla montifringilla,1974,30/04/1974
Bergfink, Fringilla montifringilla,1975,22/04/1975
Bergfink, Fringilla montifringilla,1976,24/04/1976
Bergfink, Fringilla montifringilla,1977,24/04/1977
Bergfink, Fringilla montifringilla,1978,24/04/1978
Bergfink, Fringilla montifringilla,1979,04/05/1979
Bergfink, Fringilla montifringilla,1980,23/04/1980
Bergfink, Fringilla montifringilla,1981,25/04/1981
Bergfink, Fringilla montifringilla,1982,25/04/1982
Bergfink, Fringilla montifringilla,1983,24/04/1983
Bergfink, Fringilla montifringilla,1984,24/04/1984
Bergfink, Fringilla montifringilla,1985,26/04/1985
Bergfink, Fringilla montifringilla,1986,29/04/1986
Bergfink, Fringilla montifringilla,1987,23/04/1987
Bergfink, Fringilla montifringilla,1988,29/04/1988
Bergfink, Fringilla montifringilla,1989,24/04/1989
Bergfink, Fringilla montifringilla,1990,27/04/1990
Bergfink, Fringilla montifringilla,1991,01/05/1991
Bergfink, Fringilla montifringilla,1992,18/04/1992
Bergfink, Fringilla montifringilla,1993,19/04/1993
Bergfink, Fringilla montifringilla,1994,20/04/1994
Bergfink, Fringilla montifringilla,1995,23/04/1995
Bergfink, Fringilla montifringilla,1996,29/04/1996
Bergfink, Fringilla montifringilla,1997,02/05/1997
Bergfink, Fringilla montifringilla,1998,16/04/1998
Bergfink, Fringilla montifringilla,1999,27/04/1999
Bergfink, Fringilla montifringilla,2000,30/04/2000
Bergfink, Fringilla montifringilla,2001,25/04/2001
Bergfink, Fringilla montifringilla,2002,26/04/2002
Bergfink, Fringilla montifringilla,2003,23/04/2003
Bergfink, Fringilla montifringilla,2004,25/04/2004
Bergfink, Fringilla montifringilla,2005,22/04/2005
Bergfink, Fringilla montifringilla,2006,29/04/2006
Bergfink, Fringilla montifringilla,2007,14/04/2007
Bergfink, Fringilla montifringilla,2008,19/04/2008
Bergfink, Fringilla montifringilla,2009,20/04/2009
Bergfink, Fringilla montifringilla,2010,21/04/2010
Bergfink, Fringilla montifringilla,2011,20/04/2011
Bergfink, Fringilla montifringilla,2012,25/04/2012
Bergfink, Fringilla montifringilla,2013,16/04/2013
Bergfink, Fringilla montifringilla,2014,13/04/2014
Bergfink, Fringilla montifringilla,2015,20/04/2015
Bergfink, Fringilla montifringilla,2016,22/04/2016
Bergfink, Fringilla montifringilla,2017,19/04/2017
Bergsångare, Phylloscopus bonelli,1969,04/05/1969
Bivråk, Pernis apivorus,1976,27/05/1976
Björktrast, Turdus pilaris,1951,14/05/1951
Björktrast, Turdus pilaris,1952,24/04/1952
Björktrast, Turdus pilaris,1953,05/05/1953
Björktrast, Turdus pilaris,1955,04/05/1955
Björktrast, Turdus pilaris,1957,22/04/1957
Björktrast, Turdus pilaris,1958,24/04/1958
Björktrast, Turdus pilaris,1959,19/04/1959
Björktrast, Turdus pilaris,1960,04/05/1960
Björktrast, Turdus pilaris,1961,17/04/1961
Björktrast, Turdus pilaris,1962,08/05/1962
Björktrast, Turdus pilaris,1963,23/04/1963
Björktrast, Turdus pilaris,1964,15/04/1964
Björktrast, Turdus pilaris,1965,01/05/1965
Björktrast, Turdus pilaris,1967,30/04/1967
Björktrast, Turdus pilaris,1969,06/05/1969
Björktrast, Turdus pilaris,1970,21/05/1970
Björktrast, Turdus pilaris,1971,27/04/1971
Björktrast, Turdus pilaris,1972,12/05/1972
Björktrast, Turdus pilaris,1973,17/04/1973
Björktrast, Turdus pilaris,1974,06/05/1974
Björktrast, Turdus pilaris,1975,03/05/1975
Björktrast, Turdus pilaris,1976,11/05/1976
Björktrast, Turdus pilaris,1977,05/05/1977
Björktrast, Turdus pilaris,1978,12/05/1978
Björktrast, Turdus pilaris,1979,20/04/1979
Björktrast, Turdus pilaris,1980,02/05/1980
Björktrast, Turdus pilaris,1981,26/04/1981
Björktrast, Turdus pilaris,1982,16/04/1982
Björktrast, Turdus pilaris,1983,17/04/1983
Björktrast, Turdus pilaris,1984,24/04/1984
Björktrast, Turdus pilaris,1985,22/04/1985
Björktrast, Turdus pilaris,1986,21/04/1986
Björktrast, Turdus pilaris,1987,24/04/1987
Björktrast, Turdus pilaris,1988,07/05/1988
Björktrast, Turdus pilaris,1989,06/05/1989
Björktrast, Turdus pilaris,1990,25/04/1990
Björktrast, Turdus pilaris,1991,10/05/1991
Björktrast, Turdus pilaris,1992,01/05/1992
Björktrast, Turdus pilaris,1993,11/05/1993
Björktrast, Turdus pilaris,1994,24/04/1994
Björktrast, Turdus pilaris,1995,02/05/1995
Björktrast, Turdus pilaris,1996,02/05/1996
Björktrast, Turdus pilaris,1997,14/05/1997
Björktrast, Turdus pilaris,1998,04/05/1998
Björktrast, Turdus pilaris,1999,24/05/1999
Björktrast, Turdus pilaris,2000,13/05/2000
Björktrast, Turdus pilaris,2001,09/05/2001
Björktrast, Turdus pilaris,2002,18/05/2002
Björktrast, Turdus pilaris,2003,17/05/2003
Björktrast, Turdus pilaris,2004,15/05/2004
Björktrast, Turdus pilaris,2005,23/04/2005
Björktrast, Turdus pilaris,2006,15/05/2006
Björktrast, Turdus pilaris,2007,05/05/2007
Björktrast, Turdus pilaris,2008,19/05/2008
Björktrast, Turdus pilaris,2009,15/04/2009
Björktrast, Turdus pilaris,2010,25/05/2010
Björktrast, Turdus pilaris,2011,17/04/2011
Björktrast, Turdus pilaris,2012,27/04/2012
Björktrast, Turdus pilaris,2013,18/05/2013
Björktrast, Turdus pilaris,2014,23/04/2014
Björktrast, Turdus pilaris,2015,09/05/2015
Björktrast, Turdus pilaris,2016,06/05/2016
Björktrast, Turdus pilaris,2017,07/05/2017
Blåhake, Luscinia svecica,1955,25/05/1955
Blåhake, Luscinia svecica,1956,18/05/1956
Blåhake, Luscinia svecica,1957,14/05/1957
Blåhake, Luscinia svecica,1958,06/05/1958
Blåhake, Luscinia svecica,1959,17/05/1959
Blåhake, Luscinia svecica,1960,17/05/1960
Blåhake, Luscinia svecica,1961,18/05/1961
Blåhake, Luscinia svecica,1962,13/05/1962
Blåhake, Luscinia svecica,1963,19/05/1963
Blåhake, Luscinia svecica,1964,20/05/1964
Blåhake, Luscinia svecica,1965,12/05/1965
Blåhake, Luscinia svecica,1967,07/05/1967
Blåhake, Luscinia svecica,1968,23/05/1968
Blåhake, Luscinia svecica,1969,23/05/1969
Blåhake, Luscinia svecica,1970,19/05/1970
Blåhake, Luscinia svecica,1971,15/05/1971
Blåhake, Luscinia svecica,1972,09/05/1972
Blåhake, Luscinia svecica,1973,18/05/1973
Blåhake, Luscinia svecica,1974,18/05/1974
Blåhake, Luscinia svecica,1975,10/05/1975
Blåhake, Luscinia svecica,1976,18/05/1976
Blåhake, Luscinia svecica,1977,17/05/1977
Blåhake, Luscinia svecica,1978,20/05/1978
Blåhake, Luscinia svecica,1979,14/05/1979
Blåhake, Luscinia svecica,1980,16/05/1980
Blåhake, Luscinia svecica,1981,12/05/1981
Blåhake, Luscinia svecica,1982,16/05/1982
Blåhake, Luscinia svecica,1983,13/05/1983
Blåhake, Luscinia svecica,1984,13/05/1984
Blåhake, Luscinia svecica,1985,14/05/1985
Blåhake, Luscinia svecica,1986,20/05/1986
Blåhake, Luscinia svecica,1987,19/05/1987
Blåhake, Luscinia svecica,1988,15/05/1988
Blåhake, Luscinia svecica,1989,16/05/1989
Blåhake, Luscinia svecica,1990,18/05/1990
Blåhake, Luscinia svecica,1991,18/05/1991
Blåhake, Luscinia svecica,1992,18/05/1992
Blåhake, Luscinia svecica,1993,08/05/1993
Blåhake, Luscinia svecica,1994,16/05/1994
Blåhake, Luscinia svecica,1995,18/05/1995
Blåhake, Luscinia svecica,1996,12/05/1996
Blåhake, Luscinia svecica,1997,19/05/1997
Blåhake, Luscinia svecica,1998,15/05/1998
Blåhake, Luscinia svecica,1999,18/05/1999
Blåhake, Luscinia svecica,2000,12/05/2000
Blåhake, Luscinia svecica,2001,10/05/2001
Blåhake, Luscinia svecica,2002,13/05/2002
Blåhake, Luscinia svecica,2003,18/05/2003
Blåhake, Luscinia svecica,2004,15/05/2004
Blåhake, Luscinia svecica,2005,14/05/2005
Blåhake, Luscinia svecica,2006,11/05/2006
Blåhake, Luscinia svecica,2007,23/05/2007
Blåhake, Luscinia svecica,2008,11/05/2008
Blåhake, Luscinia svecica,2009,14/05/2009
Blåhake, Luscinia svecica,2010,11/05/2010
Blåhake, Luscinia svecica,2011,12/05/2011
Blåhake, Luscinia svecica,2012,06/05/2012
Blåhake, Luscinia svecica,2013,19/05/2013
Blåhake, Luscinia svecica,2014,14/05/2014
Blåhake, Luscinia svecica,2015,15/05/2015
Blåhake, Luscinia svecica,2016,10/05/2016
Blåhake, Luscinia svecica,2017,10/05/2017
Blåmes, Parus caeruleus,1951,19/04/1951
Blåmes, Parus caeruleus,1958,01/05/1958
Blåmes, Parus caeruleus,1959,14/04/1959
Blåmes, Parus caeruleus,1961,12/04/1961
Blåmes, Parus caeruleus,1962,20/04/1962
Blåmes, Parus caeruleus,1964,06/04/1964
Blåmes, Parus caeruleus,1965,10/04/1965
Blåmes, Parus caeruleus,1968,25/03/1968
Blåmes, Parus caeruleus,1970,14/04/1970
Blåmes, Parus caeruleus,1972,10/04/1972
Blåmes, Parus caeruleus,1973,11/04/1973
Blåmes, Parus caeruleus,1974,05/04/1974
Blåmes, Parus caeruleus,1975,14/04/1975
Blåmes, Parus caeruleus,1976,12/04/1976
Blåmes, Parus caeruleus,1977,01/05/1977
Blåmes, Parus caeruleus,1978,07/04/1978
Blåmes, Parus caeruleus,1979,01/04/1979
Blåmes, Parus caeruleus,1980,27/04/1980
Blåmes, Parus caeruleus,1981,03/04/1981
Blåmes, Parus caeruleus,1982,24/03/1982
Blåmes, Parus caeruleus,1983,03/04/1983
Blåmes, Parus caeruleus,1984,05/04/1984
Blåmes, Parus caeruleus,1985,09/04/1985
Blåmes, Parus caeruleus,1986,30/03/1986
Blåmes, Parus caeruleus,1987,11/04/1987
Blåmes, Parus caeruleus,1988,09/04/1988
Blåmes, Parus caeruleus,1989,27/03/1989
Blåmes, Parus caeruleus,1990,24/03/1990
Blåmes, Parus caeruleus,1991,23/03/1991
Blåmes, Parus caeruleus,1992,28/03/1992
Blåmes, Parus caeruleus,1993,29/03/1993
Blåmes, Parus caeruleus,1994,07/04/1994
Blåmes, Parus caeruleus,1995,03/04/1995
Blåmes, Parus caeruleus,1996,05/04/1996
Blåmes, Parus caeruleus,1997,01/04/1997
Blåmes, Parus caeruleus,1998,09/04/1998
Blåmes, Parus caeruleus,1999,31/03/1999
Blåmes, Parus caeruleus,2000,04/04/2000
Blåmes, Parus caeruleus,2001,10/04/2001
Blåmes, Parus caeruleus,2002,27/03/2002
Blåmes, Parus caeruleus,2003,21/03/2003
Blåmes, Parus caeruleus,2004,30/03/2004
Blåmes, Parus caeruleus,2005,05/04/2005
Blåmes, Parus caeruleus,2006,09/04/2006
Blåmes, Parus caeruleus,2007,31/03/2007
Blåmes, Parus caeruleus,2008,07/04/2008
Blåmes, Parus caeruleus,2009,27/03/2009
Blåmes, Parus caeruleus,2010,26/03/2010
Blåmes, Parus caeruleus,2011,01/04/2011
Blåmes, Parus caeruleus,2012,29/03/2012
Blåmes, Parus caeruleus,2013,12/04/2013
Blåmes, Parus caeruleus,2014,30/03/2014
Blåmes, Parus caeruleus,2015,02/04/2015
Blåmes, Parus caeruleus,2016,26/03/2016
Blåmes, Parus caeruleus,2017,31/03/2017
Bofink, Fringilla coelebs,1950,25/05/1950
Bofink, Fringilla coelebs,1951,07/05/1951
Bofink, Fringilla coelebs,1952,02/05/1952
Bofink, Fringilla coelebs,1953,27/04/1953
Bofink, Fringilla coelebs,1954,02/06/1954
Bofink, Fringilla coelebs,1955,05/05/1955
Bofink, Fringilla coelebs,1956,28/04/1956
Bofink, Fringilla coelebs,1957,06/05/1957
Bofink, Fringilla coelebs,1958,04/05/1958
Bofink, Fringilla coelebs,1959,25/04/1959
Bofink, Fringilla coelebs,1960,27/04/1960
Bofink, Fringilla coelebs,1961,26/04/1961
Bofink, Fringilla coelebs,1962,10/05/1962
Bofink, Fringilla coelebs,1963,23/04/1963
Bofink, Fringilla coelebs,1964,30/04/1964
Bofink, Fringilla coelebs,1965,18/04/1965
Bofink, Fringilla coelebs,1966,06/04/1966
Bofink, Fringilla coelebs,1967,02/05/1967
Bofink, Fringilla coelebs,1968,29/04/1968
Bofink, Fringilla coelebs,1969,21/04/1969
Bofink, Fringilla coelebs,1970,25/04/1970
Bofink, Fringilla coelebs,1971,15/04/1971
Bofink, Fringilla coelebs,1972,19/04/1972
Bofink, Fringilla coelebs,1973,23/04/1973
Bofink, Fringilla coelebs,1974,29/04/1974
Bofink, Fringilla coelebs,1975,25/04/1975
Bofink, Fringilla coelebs,1976,21/04/1976
Bofink, Fringilla coelebs,1977,22/04/1977
Bofink, Fringilla coelebs,1978,28/04/1978
Bofink, Fringilla coelebs,1979,19/04/1979
Bofink, Fringilla coelebs,1980,21/04/1980
Bofink, Fringilla coelebs,1981,19/04/1981
Bofink, Fringilla coelebs,1982,18/04/1982
Bofink, Fringilla coelebs,1983,18/04/1983
Bofink, Fringilla coelebs,1984,23/04/1984
Bofink, Fringilla coelebs,1985,23/04/1985
Bofink, Fringilla coelebs,1986,20/04/1986
Bofink, Fringilla coelebs,1987,22/04/1987
Bofink, Fringilla coelebs,1988,24/04/1988
Bofink, Fringilla coelebs,1989,21/04/1989
Bofink, Fringilla coelebs,1990,22/04/1990
Bofink, Fringilla coelebs,1991,16/04/1991
Bofink, Fringilla coelebs,1992,22/04/1992
Bofink, Fringilla coelebs,1993,28/04/1993
Bofink, Fringilla coelebs,1994,16/04/1994
Bofink, Fringilla coelebs,1995,28/04/1995
Bofink, Fringilla coelebs,1996,19/04/1996
Bofink, Fringilla coelebs,1997,04/05/1997
Bofink, Fringilla coelebs,1998,23/04/1998
Bofink, Fringilla coelebs,1999,27/04/1999
Bofink, Fringilla coelebs,2000,17/04/2000
Bofink, Fringilla coelebs,2001,22/04/2001
Bofink, Fringilla coelebs,2002,21/04/2002
Bofink, Fringilla coelebs,2003,26/04/2003
Bofink, Fringilla coelebs,2004,22/04/2004
Bofink, Fringilla coelebs,2005,24/04/2005
Bofink, Fringilla coelebs,2006,19/04/2006
Bofink, Fringilla coelebs,2007,20/04/2007
Bofink, Fringilla coelebs,2008,20/04/2008
Bofink, Fringilla coelebs,2009,26/04/2009
Bofink, Fringilla coelebs,2010,13/04/2010
Bofink, Fringilla coelebs,2011,16/04/2011
Bofink, Fringilla coelebs,2012,28/04/2012
Bofink, Fringilla coelebs,2013,23/04/2013
Bofink, Fringilla coelebs,2014,16/04/2014
Bofink, Fringilla coelebs,2015,25/04/2015
Bofink, Fringilla coelebs,2016,22/04/2016
Bofink, Fringilla coelebs,2017,14/04/2017
Brandkronad kungsfågel, Regulus ignicapillus,1959,02/05/1959
Brandkronad kungsfågel, Regulus ignicapillus,1964,10/05/1964
Brandkronad kungsfågel, Regulus ignicapillus,1971,22/04/1971
Brandkronad kungsfågel, Regulus ignicapillus,1972,21/04/1972
Brandkronad kungsfågel, Regulus ignicapillus,1973,03/05/1973
Brandkronad kungsfågel, Regulus ignicapillus,1975,22/04/1975
Brandkronad kungsfågel, Regulus ignicapillus,1978,15/05/1978
Brandkronad kungsfågel, Regulus ignicapillus,1980,21/04/1980
Brandkronad kungsfågel, Regulus ignicapillus,1981,30/04/1981
Brandkronad kungsfågel, Regulus ignicapillus,1983,21/04/1983
Brandkronad kungsfågel, Regulus ignicapillus,1989,25/04/1989
Brandkronad kungsfågel, Regulus ignicapillus,1990,08/05/1990
Brandkronad kungsfågel, Regulus ignicapillus,1993,01/05/1993
Brandkronad kungsfågel, Regulus ignicapillus,1994,16/04/1994
Brandkronad kungsfågel, Regulus ignicapillus,1995,06/04/1995
Brandkronad kungsfågel, Regulus ignicapillus,1996,21/04/1996
Brandkronad kungsfågel, Regulus ignicapillus,1998,03/05/1998
Brandkronad kungsfågel, Regulus ignicapillus,1999,19/05/1999
Brandkronad kungsfågel, Regulus ignicapillus,2000,03/05/2000
Brandkronad kungsfågel, Regulus ignicapillus,2001,07/04/2001
Brandkronad kungsfågel, Regulus ignicapillus,2002,21/04/2002
Brandkronad kungsfågel, Regulus ignicapillus,2003,03/05/2003
Brandkronad kungsfågel, Regulus ignicapillus,2004,18/04/2004
Brandkronad kungsfågel, Regulus ignicapillus,2005,20/04/2005
Brandkronad kungsfågel, Regulus ignicapillus,2006,10/04/2006
Brandkronad kungsfågel, Regulus ignicapillus,2008,08/04/2008
Brandkronad kungsfågel, Regulus ignicapillus,2009,25/04/2009
Brandkronad kungsfågel, Regulus ignicapillus,2010,19/04/2010
Brandkronad kungsfågel, Regulus ignicapillus,2011,03/04/2011
